vendor name|event description|summary
NatWest|NatWest CEO, Dame Alison Rose, has resigned after admitting to making a mistake in speaking about Nigel Farage's relationship with the bank. She was criticized for being the source of an inaccurate BBC report about Farage's account at Coutts, which is part of NatWest Group. Dame Alison Rose, the CEO of NatWest, admitted to making a mistake in discussing Nigel Farage's relationship with the bank. Her comments led to an inaccurate BBC report about Farage's account at Coutts, which is a part of NatWest Group. Dame Alison Rose, the CEO of NatWest, faced heavy criticism for being the source of an inaccurate BBC report about Nigel Farage's account at Coutts, which is part of NatWest Group. This criticism ultimately led to her resignation.| Dame Alison Rose admitted to making a mistake in discussing Nigel Farage's relationship with the bank . Her comments led to an inaccurate BBC report about Farage's account at Coutts, which is part of NatWest Group . This criticism ultimately led to her resignation .
Netflix|Netflix is slowly ramping up plans to offer more gaming experiences to subscribers, considering games as a key part of its proposition to stay relevant with audiences. Currently, mobile games tied to famous Netflix franchises like Stranger Things are available to play, with tests underway to explore their compatibility with TVs and computers. Netflix's low-key approach and focus on mobile games first is seen as a clever strategy to understand the gaming landscape and cater to gamers' preferences. Ripstone Studios, known for making chess games, became one of the first companies to partner with Netflix to develop a game based on the popular television series The Queen's Gambit. The collaboration is seen as a collaborative partnership rather than just a licensing agreement, with both companies sharing expertise. The aim is to design a game that is accessible to as many people as possible, even those who have never played a video game before, in order to broaden the popularity of gaming as a form of entertainment. Netflix's approach to game development is different from what has been seen before, focusing on mobile titles that are cheaper to make and have less financial risk compared to big console releases. However, the success of this approach will depend on impressing players and capturing their attention in a highly competitive gaming space. Netflix aims to ensure that it is doing things in the right way and is still in the early stages of its games journey.| Netflix is slowly ramping up plans to offer more gaming experiences to subscribers . Currently, mobile games tied to famous Netflix franchises like Stranger Things are available to play . Tests are underway to explore compatibility with TVs and computers .
Nissin Foods|Nissin Foods, the noodle maker, is launching a new product called caffeinated Cup Noodles to cater to the growing gaming population in Japan. The noodles come in two flavors, garlic and black pepper yakisoba, and curry. They are sauce-based and soup-free, making them convenient for gamers to consume during gaming sessions. The caffeinated Cup Noodles by Nissin will be released in Japan on September 18. The garlic and black pepper flavor will be priced at 280 yen ($1.90), while the curry flavor will be sold at 298 yen ($2). The announcement of the new product has received positive reactions from Japanese users on social media. Japan has been a pioneer in global gaming culture, with iconic games like Super Mario and Sonic the Hedgehog. The country's gaming market is still growing, generating revenues of $22.1 billion in 2021. Japan currently ranks third globally in video game revenues, behind the United States and China.| Nissin Foods is launching a new product called caffeinated Cup Noodles to cater to the growing gaming population in Japan . The noodles come in two flavors, garlic and black pepper yakisoba, and curry . They are sauce-based and soup-free, making them convenient for gamers to consume during gaming sessions .
Nvidia|Nvidia's stock jumped 9% in after-hours trading after the company reported year-over-year sales growth of 101% to $13.5 billion, surpassing Wall Street analysts' expectations. The company's non-GAAP adjusted profits also grew by 429% to $2.70 per share. Nvidia expects even higher revenue in the current quarter, forecasting $16 billion for its fiscal third quarter. Nvidia's stock has climbed over 220% this year due to the increasing popularity and demand for artificial intelligence technology. The company's processors power generative AI technology, which is used in services like ChatGPT. Nvidia is working with leading enterprise IT system and software providers to bring AI to every industry. Nvidia announced a $25 billion share buyback program, which signals that the company's management believes its stock is currently undervalued. This move aims to return value to shareholders and boost confidence in the company's future prospects. While Nvidia's gaming division experienced growth, with revenue reaching $2.5 billion, an 11% increase from the previous quarter and a 22% jump year-over-year, the professional visualization unit saw a decline in revenue. The unit's second-quarter revenue was $379 million, down 24% from one year ago.| Nvidia reported year-over-year sales growth of 101% to $13.5 billion . The company's non-GAAP adjusted profits also grew by 429% . Nvidia announced a $25 billion share buyback program, which signals that management believes its stock is currently undervalued .
ONGC|Finding offshore rigs has become harder and more expensive for ONGC as the market for oilfield services has become very tight. ONGC sought 12 rigs for its projects but only received 10, and the new rig contracts were about 50% more expensive than previous deals. ONGC is now in the market for eight jackup rigs and has increased the mobilization fee and introduced favorable terms to attract rig suppliers. The market for oilfield services, including offshore rigs, is extremely tight globally. The utilization rate for offshore rigs has gone above 90%, compared to the normal rate of around 80%. This tight market extends to other oilfield services as well as crew, making it challenging for companies like ONGC to find the necessary resources. ONGC is aggressively holding roadshows and reaching out to potential service providers to attract rig suppliers. They are highlighting the benefits of doing business with a government-run company that honors contracts and works on a short payment window. ONGC has also increased the mobilization fee and introduced favorable terms to make the partnership more rewarding for rig suppliers. State-owned Oil and Natural Gas Corporation (ONGC) will invest about Rs 15,000 crore in ONGC Petro-additions Ltd (OPaL) as part of a financial restructuring exercise. This move will see gas utility GAIL being edged out of the petrochemical firm. ONGC will convert share warrants into equity buy-back debentures and invest Rs 7,000 crore more equity, giving it about 95% stake in OPaL. The ONGC board has approved a financial restructuring of OPaL, which has been making losses due to its high debt. ONGC will buy-back compulsory convertible debentures (CCDs) of Rs 7,778 crore issued by OPaL, and also invest Rs 7,000 crore in equity/quasi-equity security of OPaL. Upon implementation, OPaL will become a subsidiary of ONGC, leading to increased profitability. GAIL India Ltd and Gujarat State Petrochemical Corp (GSPC) will together hold close to 5% stake in OPaL post-financial restructuring. GAIL had initially picked up a stake in OPaL in 2008, but due to major cost and time overruns, it decided to restrict its equity contribution. The completion of the mega petrochemical complex at Dahej cost about Rs 30,000 crore, leading to accumulated losses of Rs 13,000.3 crore for OPaL.| ONGC sought 12 rigs for its projects but only received 10, and the new rig contracts were about 50% more expensive than previous deals . ONGC is aggressively holding roadshows and reaching out to potential service providers to attract rig suppliers . The utilization rate for offshore rigs has gone above 90%, compared to the normal rate of around 80%.
Ocushield|Dhruvin Patel of Ocushield explains how he was motivated to start his own business after surviving a terrifying accident. This event showcases the personal inspiration behind the creation of Ocushield and highlights the resilience and determination of the entrepreneur. In this event, a person shares their story of building a million-pound side hustle by dedicating an hour a day. This event emphasizes the potential of side hustles and the importance of consistent effort and time management in achieving financial success. In this event, the statement is made that the traditional job interview is dead. This event suggests a shift in the hiring process and highlights the need for innovative and alternative methods of assessing candidates' suitability for a job.| This event showcases the personal inspiration behind the creation of Ocushield and highlights the resilience and determination of the entrepreneur . This event emphasizes the potential of side hustles and the importance of consistent effort and time management .
Origin by Ocean (ObO)|Excessive outbreaks of seaweed and microalgae in waters from the Caribbean to the Baltic are being harvested alongside farmed crops to create ingredients for cosmetics and food products. The microalgae extracts can be used in detergents, animal feed, packaging, and even as a replacement for plastic. This trend aligns with the growing demand for seaweed as a sustainable alternative to oil-based ingredients. Dr. Mari Granstrm, a Finnish biochemist, founded Origin by Ocean (ObO) to address the problem of toxic microalgae blooms in the Baltic Sea. ObO collects microalgae off the coast of Finland and imports invasive sargassum seaweed from the Caribbean. The company uses patented biorefinery technology to separate the algae into various usable materials, which are then sold to food, cosmetics, textiles, packaging, and agricultural companies. Nordic Seafarm, a commercial spin-off from the Swedish government-funded project Seafarm, is showcasing the versatility of seaweed. The company produces algae-based gin and beer and aims to scale up its operations if the market for seaweed expands. Additionally, Nordic Seafarm envisions algae becoming a key ingredient in animal feed, replacing environmentally-damaging fish meal.| Microalgae extracts can be used in detergents, animal feed, packaging, and even as a replacement for plastic . Trend aligns with growing demand for seaweed as a sustainable alternative to oil-based ingredients .
Paqui|Paqui, the maker of the ultra-spicy C/One Chip ChallengeC/, has decided to remove the product from shelves after a Massachusetts family claimed their 14-year-old son may have died from complications after consuming the chip. The chip contains seasoning from Carolina Reaper Pepper and Naga Viper Pepper, which are extremely spicy. Paqui has not commented on the incident. Authorities in Massachusetts are investigating the death of a 14-year-old boy who reportedly consumed the ultra-spicy chip. The Worcester Police Department responded to a medical call and found the teenager unresponsive. The autopsy report has not been released yet, and the cause of death has not been confirmed. Following the incident, Paqui has issued a statement reminding consumers that the one-chip challenge was intended for adults only and not recommended for individuals with sensitivity to spicy foods, food allergies, pregnancy, or underlying health conditions. The company has seen an increase in teens and others ignoring these warnings. They are actively working with retailers to remove the product from shelves.| Paqui, maker of the ultra-spicy C/One Chip ChallengeC/C/Chip Challenge, has decided to remove the product from shelves after a Massachusetts family claimed their 14-year-old son may have died from complications after consuming the chip . The chip contains seasoning from Carolina Reaper Pepper and Naga Viper Pepper, which are extremely spicy . Paqu
Paytm|Fintech firm Paytm has launched a new sound box called Paytm Card Soundbox that accepts both card and mobile payments. Priced at Rs 999, the device has a tap and pay functionality and accepts payments up to Rs 5,000. Paytm aims to take this product to 550 cities in India. With the launch of Paytm Card Soundbox, Paytm aims to democratize card payments at a micro-level. The device offers affordability and allows merchants to switch off the card tap feature whenever needed. It also provides alerts in 11 languages and supports NFC-enabled smartphone payments. One97 Communications, the parent company of Paytm, reported a 118% spike in payment device subscriptions by merchants in the first two months of the fiscal year. The number of merchants paying subscription for payment devices, including soundbox and PoS machines, rose to 75 lakh during April and May from 34 lakh in the same period last year.| Fintech firm Paytm has launched a new sound box called Paytm Card Soundbox . Priced at Rs 999, the device has a tap and pay functionality and accepts payments up to Rs 5,000 . Paytm aims to take this product to 550 cities in India .
Philips Respironics|Philips Respironics, the maker of CPAP sleep apnea machines, has agreed to pay at least $479 million in a settlement over alleged health risks from toxic sound-reducing foam. The settlement will compensate users who bought or rented the recalled devices and those who incurred out-of-pocket costs. Philips Respironics did not admit to any wrongdoing as part of the agreement. In 2021, Philips recalled about 10.8 million devices used to reduce sound and vibration in CPAP machines. The silicone-based foam used in these devices was found to break down and potentially be inhaled by users. While there have been reports of health issues such as headaches and sinus infections, Philips stated that the potential health risks could range from transient injuries to serious, life-threatening complications. The FDA has received reports alleging at least 385 deaths associated with the breakdown of the foam used in Philips Respironics devices since April 2021. Forty of these reports occurred in the first three months of 2023. Philips Respironics maintains that potential exposure to foam particles or emissions is unlikely to result in significant harm to health. As part of the settlement, Philips will pay awards to users for each recalled device, ranging from $55.63 to $1,552.25. Users will also receive a device return award of $100 for each recalled device returned to the company. Philips has set aside 575 million euros (approximately $615 million) in the first quarter of 2023 to cover the estimated costs. Personal injury and medical monitoring claims are not included in the settlement and will be pursued separately.| Philips Respironics agreed to pay at least $479 million in a settlement over alleged health risks from toxic sound-reducing foam . In 2021, Philips recalled about 10.8 million devices used to reduce sound and vibration in CPAP machines . The silicone-based foam used in these devices was found to break down and potentially be inhaled .
Reliance Industries|Reliance Industries, led by billionaire Mukesh Ambani, is considering entering the semiconductor manufacturing industry to address its supply chain needs and meet the growing chip demand in India. The conglomerate has held early-stage talks with foreign chipmakers to potentially become technology partners. Reliance sees merit in this move as it would help safeguard against chip shortages that could impact its telecom and electronic devices businesses. Despite Prime Minister Narendra Modi's goal of making India a chipmaker for the world, the country's chip ambitions have faced setbacks. India currently does not have any chip manufacturing plants, although companies like Vedanta and Foxconn are considering building facilities. The collapse of a $19.5 billion venture between Vedanta and Foxconn and the slow progress of ISMC's $3 billion investment plans have hindered India's chip ambitions. With a market capitalization of around $200 billion, Reliance Industries is considered one of the best-positioned companies in India to venture into semiconductors. The conglomerate has deep pockets and expertise in working with the government. However, entering the chip manufacturing industry requires finding a tech partner, which is crucial for Reliance's success. Mukesh Ambani-owned Reliance Industries has partnered with chipmaker Nvidia to develop India's own large language model trained on the country's diverse languages. Nvidia will provide access to its GH200 Grace Hopper Superchip and DGX Cloud to build AI infrastructure. This collaboration aims to create technology infrastructure for widespread growth and bring AI to all households in India. Mukesh Ambani announced at the company's AGM that Reliance Industries will be developing India-specific AI models and AI-powered solutions. The partnership with Nvidia will help Reliance build AI applications and services. The AI infrastructure provided by Nvidia will be hosted in AI-ready computing data centers, eventually expanding to 2,000 MW. Reliance Industries is reportedly exploring a foray into semiconductor manufacturing to address its supply chain needs and cater to growing chip demand in India. The conglomerate has held early-stage talks with foreign chipmakers to become technology partners. With advanced AI computing infrastructure, Reliance aims to build its own large language models for generative AI applications made in India. The Delhi High Court's division bench has asked for a response from Reliance Industries and other parties regarding the government's appeal accusing them of committing fraud and unjust enrichment of over $1.729 billion by siphoning gas from deposits they had no right to exploit. The government argues that RIL knew about the connectivity of its block with the adjoining ONGC block and deliberately extracted and sold the ONGC gas without the government's knowledge. Reliance Industries, through its counsel Sameer Parekh, has opposed the government's appeal, stating that the issues cannot be reopened under Section 37 of the Arbitration Act. The lawyer argued that the migration of gas could have been studied by the ministry in 2009 itself, but they chose not to do so. RIL also claimed that it would have been infeasible to extract gas from the underdeveloped ONGC block at that time. The government is seeking to set aside the international arbitration award that ruled in favor of the RIL-led consortium. They argue that the award strikes at the heart of public policy and has given a premium to RIL, which they accuse of committing fraud and criminal offenses. The government raised a demand of $1.47 billion in 2014 for disgorgement of unjust enrichment made by draining and selling gas from adjacent ONGC blocks.| Reliance Industries, led by billionaire Mukesh Ambani, is considering entering the semiconductor manufacturing industry . The conglomerate has held early-stage talks with foreign chipmakers to potentially become technology partners . India currently does not have any chip manufacturing plants .
Reliance Jio|Reliance Jio has requested the telecom regulator, Trai, for flexible use of spectrum between satellite and terrestrial networks, specifically in the Ku and Ka bands. Jio highlighted the recent decision by the New Zealand government to allow dual use of spectrum. The suggestion for flexible use is based on the latest changes in technology and standards that enable the creation of integrated and converged networks. The New Zealand government has agreed to allocate the 24.25-27.5 GHz band primarily for mobile use, with the option to include some satellite services in certain areas. The 27.5-28.35 GHz range will be shared for mobile and satellite services, while the 28.35-29.5 GHz band will be allocated for satellite services, with the option to include some mobile use. This decision demonstrates the recognition of the need for flexible use of spectrum in the wake of technological convergence in telecommunication networks. Jio highlights that the 3GPP specifications in release-17 have enabled the convergence of satellite and terrestrial networks. Several countries have been considering the assignment of spectrum for flexible use between these networks. Jio urges the Telecom Regulatory Authority of India (Trai) to ensure the optimum and evolving technology-centric assignment of spectrum, as it is a finite and scarce resource for wireless broadband connectivity. Satcom firms like OneWeb and Amazon, backed by the Bharti Group, are advocating for administrative allocation of spectrum. On the other hand, telecom operators Jio and Vodafone Idea are in favor of spectrum allocation to the highest bidder, similar to the case of telcos. This highlights the ongoing debate regarding the allocation of spectrum for satellite communication services. Reliance Jio has shared with Telecom Regulatory Authority of India (Trai) a recent decision taken by the New Zealand government, allowing the use of 24-30 GHz spectrum in the Ka band for satellite and mobile services. Jio emphasizes that the suggestion for flexible use of spectrum is based on the latest changes in technology and standards, enabling the creation of integrated and converged networks. The New Zealand government has agreed to allocate the 24.25-27.5 GHz range primarily for mobile use, with the option to include some satellite services in certain areas. The 27.5-28.35 GHz range will be shared for mobile and satellite services, while the 28.35-29.5 GHz range will be allocated for satellite services, with the option to include some mobile use. Jio has requested that the reserved quantum for satellite services in the Ka and Ku bands should have flexible use. They argue that the 3GPP specifications in release-17 have enabled the convergence of satellite and terrestrial networks, and technological advancements support the integration of networks in the future. Satcom firms like OneWeb and Amazon are advocating for administrative allocation of spectrum, while telcos like Reliance Jio and Vodafone Idea want satcom spectrum to be allotted through auctions. Jio and Vodafone Idea argue for the same service, same rules principle and cite a 2012 Supreme Court order on the allocation of natural resources to demand an auction. Reliance Jio has applied to the Department of Telecommunications (DoT) seeking approval to widen the use of E-band spectrum for access or mobility use, in addition to backhaul. Jio argues that with technological advancements, the distinction between the two has vanished. The move comes ahead of an expected consultation paper by Telecom Regulatory Authority of India (Trai) on the mode of allocating such airwaves. Jio has requested the DoT to send a fresh reference to Trai, stating that E-band spectrum can also be used for mobile services. Jio believes that the use of integrated access backhaul (IAB) E-band spectrum can provide high-speed broadband in densely populated areas where laying fiber is difficult and uneconomical. While Jio has not explicitly asked for auctioning E-band spectrum, it has requested the DoT to clarify that E-band spectrum can be used for mobile services. The Department of Telecommunications (DoT) has changed its stance on the allocation mechanism for spectrum after a 2012 Supreme Court order backed auction as the mode of allocation for scarce natural resources like airwaves. DoT was considering auction as a mode to allocate E and V bands as well as backhaul carriers, a move opposed by technology companies. Trai is expected to come out with a consultation paper on the mechanism for allocating E and V bands spectrum and backhaul carriers to telecom operators.| Reliance Jio has requested the telecom regulator Trai for flexible use of spectrum between satellite and terrestrial networks, specifically in the Ku and Ka bands . Jio highlighted the recent decision by the New Zealand government to allow dual use .
Russia|In August, Russia's share in India's crude oil imports decreased to 34% from 42% in July. This decline was primarily due to state-run refiners significantly reducing their imports from Russia. Supplies from Russia fell by 23% month-on-month to 1.47 million barrels per day (mbd) in August, while India's overall crude imports fell by 5% to 4.35 mbd. While Russia's crude oil exports to India decreased, its seaborne crude exports to China increased. In August, exports to China rose to 1.4 mbd from 1.3 mbd in July. This shift in exports suggests that Russia is focusing on meeting its increased domestic fuel demand and reducing crude production. With the decline in Russian crude oil imports, Saudi Arabia emerged as the major beneficiary. In August, Saudi Arabia exported 820,000 barrels per day to Indian refiners, a 70% increase compared to July. This boosted Saudi Arabia's share in the Indian crude market to 19% in August from 11% in July.| In August, Russia's share in India's crude oil imports decreased to 34% from 42% in July . This decline was primarily due to state-run refiners significantly reducing their imports from Russia . Saudi Arabia emerged as the major beneficiary as Saudi Arabia exported 820,000 barrels per day to Indian refiners .
Silicon Valley Bank|Greg Becker, CEO of Silicon Valley Bank, shares his business advice in an interview. He discusses the importance of not underestimating the value of tech courses and encourages aspiring entrepreneurs to pursue them. Becker's insights provide valuable guidance for those looking to succeed in the business world. The CEO of Beauty Pie, a beauty subscription service, shares her advice on starting a business. She highlights the challenges she faced and emphasizes the importance of perseverance and resilience. Her insights offer valuable lessons for aspiring entrepreneurs. A truck-load of beer had to be destroyed due to unforeseen circumstances. The incident highlights the potential challenges and losses that businesses may face. This serves as a reminder of the unpredictable nature of the business environment.| Greg Becker, CEO of Silicon Valley Bank, shares his business advice in an interview . The CEO of Beauty Pie, a beauty subscription service, shares her advice on starting a business . She highlights the challenges she faced and emphasizes the importance of perseverance and resilience .
Starbucks|Former Starbucks CEO Howard Schultz is stepping down from the coffee chain's board. The change was part of a planned transition, but Schultz did not provide a reason for his exit. Schultz spent 11 months back in the top job, during which he crafted a strategy to modernize the company's cafes and improve relations with its baristas. As Howard Schultz departs from the board, Wei Zhang will take his seat. Zhang, who served as a senior advisor to Alibaba and president of Alibaba Pictures Group, brings her experience with the Chinese e-commerce giant to aid Starbucks in its efforts to help its Chinese business bounce back. Zhang is the third woman on Starbucks' eight-person board. During his third stint as Starbucks CEO, Howard Schultz took a more aggressive approach against baristas unionizing, which led to backlash and criticism. Schultz was grilled in front of a Senate committee over the company's alleged union busting shortly after he stepped down as chief executive. His actions made him the face of Starbucks' anti-union stance.| Former Starbucks CEO Howard Schultz steps down from the company's board . Schultz did not provide a reason for his exit . Wei Zhang will take his seat . Zhang is the third woman on the eight-person board .
State Bank of India|State Bank of India (SBI) has made its digital rupee eC/1 interoperable with the National Payments Corporation of India's (NPCI) Unified Payments Interface (UPI) system. This integration is part of the Reserve Bank of India's (RBI) Central Bank Digital Currency (CBDC) program. Users can now access the SBI digital rupee through the 'eRupee by SBI' application and make swift and secure transactions by scanning any merchant UPI QR code. SBI was among the first few banks to participate in the RBI's retail digital e-rupee project in December 2022. This project aims to introduce a digital version of the Indian rupee, enabling seamless digital transactions. SBI's active involvement in this initiative showcases its commitment to embracing digital currencies and contributing to the development of the digital currency ecosystem in India. The seamless integration of the CBDC with the widely used UPI platform marks a significant leap for SBI. By bridging the gap between the Central Bank Digital Currency and UPI, SBI aims to enhance the acceptance and utilization of digital currencies in everyday transactions. The bank believes that this integration will be a game changer for the digital currency ecosystem and expects it to boost the overall payments ecosystem in India. State Bank of India's mobile banking app, Yono, will be expanded to four more countries in the next year. Currently available in nine countries, including the UK, Canada, and Sri Lanka, the app aims to streamline user experience and increase its global footprint. The next countries in line for availability are the US, Singapore, and Oman. Yono, launched by State Bank of India in 2014, has become a runaway success, with 85% of banking transactions being conducted through the app. The app's popularity has contributed to the bank's dominance in UPI transactions, with 38% of the 10 billion UPI transactions in August being done through the SBI network. State Bank of India is working on the development of Yono 2.0, the next generation of its mobile banking app. The bank aims to enhance the app's features and capabilities to further improve user experience and meet evolving customer needs.| State Bank of India has made its digital rupee eC/1 interoperable with the National Payments Corporation of India's (NPCI) Unified Payments Interface (UPI) system . SBI was among the first few banks to participate in the RBI's retail digital e-rupee project in December 2022 .
Tenet Medcorp|Tenet Medcorp, the owner of Tenet Diagnostics, has announced a Rs.100 crore investment in Karnataka. The investment will lead to the expansion of the chain from five centers in Bengaluru to 15 by 2025, creating about 1500 skilled jobs. This move will put Tenet Medcorp in competition with other diagnostic service providers in the market. According to Polaris Market Research, the diagnostic services market in India is projected to grow to $43.57 billion in nine years, with a CAGR of 11.6%. This growth projection highlights the potential for Tenet Medcorp's investment in Karnataka to tap into a growing market and boost access to advanced technology and infrastructure in diagnostics and preventive healthcare. Tenet Medcorp has collaborated with the Ohio State University and signed research agreements with industry leaders such as Siemens and United Imaging. The adoption of the latest technology has resulted in reduced scanning time for patients by 50% while maintaining competitive pricing. This focus on technology and partnerships has contributed to the company's revenue growth, with Karnataka driving the expansion. Tenet Medcorp has partnered with companies in the auto and pharma sectors, including Toyota, Volvo, LIC, SBI, Dr. Reddy's, and Coca Cola, for preventive health check-ups of their employees. This collaboration allows Tenet Medcorp to expand its customer base and provide comprehensive healthcare services to employees of these companies.| Tenet Medcorp, the owner of Tenet Diagnostics, has announced a Rs.100 crore investment in Karnataka . The investment will lead to the expansion of the chain from five centers in Bengaluru to 15 by 2025, creating about 1500 skilled jobs . The diagnostic services market in India is projected to grow to $43.57 billion in nine years .
Tesla|Tesla has combined a series of innovations, including the use of huge presses and die casting techniques, to make a technological breakthrough in electric vehicle (EV) manufacturing. This breakthrough has allowed Tesla to slash production costs and develop cars from the ground up in a much shorter time frame compared to its rivals. The company's unboxed manufacturing strategy aims to produce large sub-assemblies of a car and snap them together, potentially disrupting the industry. Tesla's breakthrough in gigacasting, which involves casting large structures for EVs, centers around the design and testing of giant molds using 3D printing and industrial sand. These innovations have enabled Tesla to incorporate hollow subframes with internal ribs, reducing weight and improving crashworthiness. The use of sand casting with 3D printing allows for cost-effective design validation and rapid prototyping, significantly reducing the time and cost involved in the traditional metal mold process. One major hurdle Tesla had to overcome in gigacasting was the behavior of aluminum alloys in sand molds, which often failed to meet the company's crashworthiness criteria. However, casting specialists were able to formulate special alloys, fine-tune the cooling process, and implement after-production heat treatment to address this issue. Once Tesla is satisfied with the prototype mold, it can invest in a final metal mold for mass production. Tesla is considering casting the underbody of its upcoming small EV in one piece, which would simplify the manufacturing process. However, the choice of gigapress and the complexity of the car frame would need to be determined. Tesla would require new, larger gigapresses with high clamping power to punch out such large body parts quickly, but these presses may not be able to accommodate the 3D printed sand cores needed for hollow subframes. Alternatively, Tesla could use a different type of press that allows for slow alloy injection, which produces higher quality castings but takes longer.| Tesla has combined a series of innovations to make a technological breakthrough in electric vehicle manufacturing . The company's unboxed manufacturing strategy aims to produce large sub-assemblies of a car and snap them together, potentially disrupting the industry . Gigacasting involves casting large structures using 3D printing and industrial sand .
Tiffany and Co|The iconic Tiffany and Co store in New York City caught fire. The store, which was renovated earlier this year, is famous for being featured in the 1961 film Breakfast at Tiffany's. The extent of the damage caused by the fire is currently unknown. Wildfires have erupted outside of Los Angeles, causing buildings to burn. The exact number of buildings affected and the extent of the damage is still being assessed. Firefighters are working to contain the wildfires and protect nearby communities. CCTV footage has surfaced showing US airport staff allegedly stealing from passengers' bags. The video captures the staff members in the act of theft, raising concerns about airport security and passenger trust. Authorities are investigating the incident and taking appropriate action.| The iconic Tiffany and Co store in New York City caught fire . The store is famous for being featured in the 1961 film Breakfast at Tiffany's . The extent of the damage caused by the fire is currently unknown .
Twitter|Twitter, now known as X, announced that it may collect biometric and employment information from its users, expanding the range of personal information exposed on the platform. The new privacy policy allows X to collect and use biometric information for safety, security, and identification purposes. Additionally, X may collect users' employment and educational history to suggest potential job openings, share with prospective employers, or target users with advertising. X will offer X Premium users the option to provide a government ID and a selfie image for verification purposes. The company will extract biometric data from both the government ID and the selfie image to match the user's identity. This verification process aims to fight impersonation attempts and enhance platform security. Twitter's policy adjustment aligns with what many of its peers already collect, but it represents an expansion of the types of information Twitter is interested in tracking. The change comes as owner Elon Musk aims to transform the platform into an 'everything app' with features like financial services. It also coincides with regulatory initiatives worldwide that require social media companies to verify users' ages. A federal judge temporarily blocked an Arkansas law mandating age verification for social media platforms just hours before it was due to take effect. The law required users to upload copies of their government-issued identification or selfies for analysis by artificial intelligence. The temporary block raises questions about the implementation of age-assurance services and their impact on social media platforms. Elon Musk, the owner of X (formerly known as Twitter), has threatened to sue the Anti-Defamation League (ADL) for defamation. Musk claims that the ADL's statements about rising hate speech on the platform have negatively impacted X's advertising revenue. Musk also accuses the ADL of falsely accusing him of being anti-Semitic. The ADL recently met with X's leadership, including CEO Linda Yaccarino, to discuss ways to revive ad revenue. Yaccarino thanked ADL CEO Jonathan Greenblatt for the meeting and expressed the intention to build a strong and productive partnership based on good intentions and candor. Under Elon Musk's ownership, the volume of hate speech on X has grown dramatically. Watchdog organizations, such as the ADL and the Center for Countering Digital Hate (CCDH), have reported an increase in antisemitic content and a decrease in the moderation of such posts. Musk, however, claims that hate speech impressions continue to decline since he took over the platform. Elon Musk has sued the CCDH, accusing the nonprofit group of deliberately trying to drive advertisers away from X. Musk claims that the CCDH violated the platform's terms of service and federal hacking laws. The CCDH's CEO, Imran Ahmed, dismisses the lawsuit as a conspiracy theory and suggests that Musk is trying to shift blame for his own failings as a CEO. Twitter's parent company, X Corp., has filed a lawsuit against California's attorney general over the state's new content moderation law. The law requires social media companies to disclose their terms of service and submit reports on their content moderation policies. X Corp. alleges that the law violates the First Amendment and could compel the company to moderate politically charged speech. Under Elon Musk's leadership, Twitter has faced a major revenue hit and made changes to its content policies. Musk has expressed his views on speech permitted on the platform, leading to concerns about the approach to content moderation. The platform has ceased enforcement of its Covid-19 misinformation policy and reinstated previously banned users. X Corp., led by Elon Musk, has threatened to sue the Anti-Defamation League (ADL) for defamation. Musk claims that the ADL's statements about rising hate speech on the platform have affected the company's advertising revenue. The ADL has not commented on the legal threat, but its CEO has spoken out against the BanTheADL campaign on Twitter. In its lawsuit, X Corp. alleges that California's content moderation law could pressure social media platforms to limit or censor constitutionally-protected content. The company claims that the law could force platforms to take public positions on controversial issues to avoid public scrutiny. The lawsuit seeks a jury trial to determine the constitutionality and legal validity of the law.| Twitter, now known as X, announces that it may collect biometric and employment information from its users . The new privacy policy allows X to collect and use biometric information for safety, security, and identification purposes . X Premium users will be able to provide a government ID and selfie image for verification purposes .
